央视频道,#genre#
CCTV7,http://125.125.236.51:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://125.125.236.51:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
东南卫视,http://125.125.236.51:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://125.125.236.51:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://125.125.236.51:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://125.125.236.51:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://125.125.236.51:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://125.125.236.51:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
